Topic,Theme,Similarity
DIGITAL-2021-CLOUD-AI-01-DATA-TECH,Artificial Intelligence,0.18407339
DIGITAL-2021-CLOUD-AI-01-DATA-TECH,Cyber security technologies,0.35585928
DIGITAL-2021-CLOUD-AI-01-DATA-TECH,"Data science, data analytics and data spaces",0.2781183
DIGITAL-2021-CLOUD-AI-01-DATA-TECH,Digital Twinning and Immersive technologies,0.40642178
DIGITAL-2021-CLOUD-AI-01-DATA-TECH,Digital connectivity technologies,0.37047583
DIGITAL-2021-CLOUD-AI-01-DATA-TECH,Neuromorphic technologies,0.2382552
DIGITAL-2021-CLOUD-AI-01-DATA-TECH,Software technologies and computing,0.41165945
DIGITAL-2021-CLOUD-AI-01-DS-MARKETPLACE-CLOUD,Artificial Intelligence,0.19914453
DIGITAL-2021-CLOUD-AI-01-DS-MARKETPLACE-CLOUD,Cyber security technologies,0.31358713
DIGITAL-2021-CLOUD-AI-01-DS-MARKETPLACE-CLOUD,"Data science, data analytics and data spaces",0.39721715
DIGITAL-2021-CLOUD-AI-01-DS-MARKETPLACE-CLOUD,Digital Twinning and Immersive technologies,0.35730994
DIGITAL-2021-CLOUD-AI-01-DS-MARKETPLACE-CLOUD,Digital connectivity technologies,0.37466338
DIGITAL-2021-CLOUD-AI-01-DS-MARKETPLACE-CLOUD,Neuromorphic technologies,0.15351614
DIGITAL-2021-CLOUD-AI-01-DS-MARKETPLACE-CLOUD,Software technologies and computing,0.50572574
DIGITAL-2021-CLOUD-AI-01-FEI-DS-GENOMICS,Artificial Intelligence,0.15233043
DIGITAL-2021-CLOUD-AI-01-FEI-DS-GENOMICS,Cyber security technologies,0.26488423
DIGITAL-2021-CLOUD-AI-01-FEI-DS-GENOMICS,"Data science, data analytics and data spaces",0.48553687
DIGITAL-2021-CLOUD-AI-01-FEI-DS-GENOMICS,Digital Twinning and Immersive technologies,0.24061842
DIGITAL-2021-CLOUD-AI-01-FEI-DS-GENOMICS,Digital connectivity technologies,0.20611656
DIGITAL-2021-CLOUD-AI-01-FEI-DS-GENOMICS,Neuromorphic technologies,0.123534314
DIGITAL-2021-CLOUD-AI-01-FEI-DS-GENOMICS,Software technologies and computing,0.38020602
DIGITAL-2021-CLOUD-AI-01-INDUSTRIAL-DATA,Artificial Intelligence,0.22756541
DIGITAL-2021-CLOUD-AI-01-INDUSTRIAL-DATA,Cyber security technologies,0.39642537
DIGITAL-2021-CLOUD-AI-01-INDUSTRIAL-DATA,"Data science, data analytics and data spaces",0.47027558
DIGITAL-2021-CLOUD-AI-01-INDUSTRIAL-DATA,Digital Twinning and Immersive technologies,0.38997528
DIGITAL-2021-CLOUD-AI-01-INDUSTRIAL-DATA,Digital connectivity technologies,0.37878418
DIGITAL-2021-CLOUD-AI-01-INDUSTRIAL-DATA,Neuromorphic technologies,0.20164403
DIGITAL-2021-CLOUD-AI-01-INDUSTRIAL-DATA,Software technologies and computing,0.5187323
DIGITAL-2021-CLOUD-AI-01-PREP-AI,Artificial Intelligence,0.4587819
DIGITAL-2021-CLOUD-AI-01-PREP-AI,Cyber security technologies,0.29261333
DIGITAL-2021-CLOUD-AI-01-PREP-AI,"Data science, data analytics and data spaces",0.5041263
DIGITAL-2021-CLOUD-AI-01-PREP-AI,Digital Twinning and Immersive technologies,0.46803576
DIGITAL-2021-CLOUD-AI-01-PREP-AI,Digital connectivity technologies,0.25025243
DIGITAL-2021-CLOUD-AI-01-PREP-AI,Neuromorphic technologies,0.2898465
DIGITAL-2021-CLOUD-AI-01-PREP-AI,Software technologies and computing,0.4449788
DIGITAL-2021-CLOUD-AI-01-PREP-DS-GREEN-DEAL,Artificial Intelligence,0.23321351
DIGITAL-2021-CLOUD-AI-01-PREP-DS-GREEN-DEAL,Cyber security technologies,0.31118673
DIGITAL-2021-CLOUD-AI-01-PREP-DS-GREEN-DEAL,"Data science, data analytics and data spaces",0.6129816
DIGITAL-2021-CLOUD-AI-01-PREP-DS-GREEN-DEAL,Digital Twinning and Immersive technologies,0.35616797
DIGITAL-2021-CLOUD-AI-01-PREP-DS-GREEN-DEAL,Digital connectivity technologies,0.31710827
DIGITAL-2021-CLOUD-AI-01-PREP-DS-GREEN-DEAL,Neuromorphic technologies,0.14693329
DIGITAL-2021-CLOUD-AI-01-PREP-DS-GREEN-DEAL,Software technologies and computing,0.4455374
DIGITAL-2021-CLOUD-AI-01-PREP-DS-MANUFACT,Artificial Intelligence,0.20139696
DIGITAL-2021-CLOUD-AI-01-PREP-DS-MANUFACT,Cyber security technologies,0.32033324
DIGITAL-2021-CLOUD-AI-01-PREP-DS-MANUFACT,"Data science, data analytics and data spaces",0.528949
DIGITAL-2021-CLOUD-AI-01-PREP-DS-MANUFACT,Digital Twinning and Immersive technologies,0.4809179
DIGITAL-2021-CLOUD-AI-01-PREP-DS-MANUFACT,Digital connectivity technologies,0.25850248
DIGITAL-2021-CLOUD-AI-01-PREP-DS-MANUFACT,Neuromorphic technologies,0.14551683
DIGITAL-2021-CLOUD-AI-01-PREP-DS-MANUFACT,Software technologies and computing,0.41185904
DIGITAL-2021-CLOUD-AI-01-PREP-DS-MOB,Artificial Intelligence,0.10897744
DIGITAL-2021-CLOUD-AI-01-PREP-DS-MOB,Cyber security technologies,0.26426125
DIGITAL-2021-CLOUD-AI-01-PREP-DS-MOB,"Data science, data analytics and data spaces",0.52705497
DIGITAL-2021-CLOUD-AI-01-PREP-DS-MOB,Digital Twinning and Immersive technologies,0.27637035
DIGITAL-2021-CLOUD-AI-01-PREP-DS-MOB,Digital connectivity technologies,0.29279307
DIGITAL-2021-CLOUD-AI-01-PREP-DS-MOB,Neuromorphic technologies,0.07935572
DIGITAL-2021-CLOUD-AI-01-PREP-DS-MOB,Software technologies and computing,0.36844963
DIGITAL-2021-CLOUD-AI-01-PREP-SMART-COMM,Artificial Intelligence,0.29301527
DIGITAL-2021-CLOUD-AI-01-PREP-SMART-COMM,Cyber security technologies,0.32092232
DIGITAL-2021-CLOUD-AI-01-PREP-SMART-COMM,"Data science, data analytics and data spaces",0.6321641
DIGITAL-2021-CLOUD-AI-01-PREP-SMART-COMM,Digital Twinning and Immersive technologies,0.41455838
DIGITAL-2021-CLOUD-AI-01-PREP-SMART-COMM,Digital connectivity technologies,0.38139337
DIGITAL-2021-CLOUD-AI-01-PREP-SMART-COMM,Neuromorphic technologies,0.23850225
DIGITAL-2021-CLOUD-AI-01-PREP-SMART-COMM,Software technologies and computing,0.47946218
DIGITAL-2021-CLOUD-AI-01-SUPPCENTRE,Artificial Intelligence,0.15922514
