Topic,Year,Domain,Programme,Category original,Destination / Category,Destination / Category FULL,Available Budget,Expected Grants,Joint Undertaking
ERC-2020-PERA-2,2020,,ERC,PERA,PERA,,30000.0,,
ERC-2021-ADG,2021,,ERC,ADG,ADG,,626000000.0,,
ERC-2021-COG,2021,,ERC,COG,COG,,633000000.0,,
ERC-2021-STG,2021,,ERC,STG,STG,,619000000.0,,
ERC-2022-ADG,2022,,ERC,ADG,ADG,,471000000.0,,
ERC-2022-COG,2022,,ERC,COG,COG,,776000000.0,,
ERC-2022-PERA-1,2022,,ERC,PERA,PERA,,30000.0,,
ERC-2022-PERA-3,2022,,ERC,PERA,PERA,,30000.0,,
ERC-2022-POC1,2022,,ERC,POC1,POC1,,25000000.0,,
ERC-2022-POC2,2022,,ERC,POC2,POC2,,25000000.0,,
ERC-2022-STG,2022,,ERC,STG,STG,,636000000.0,,
ERC-2022-SyG,2022,,ERC,SyG,SyG,,297000000.0,,
ERC-2023-ADG,2023,,ERC,ADG,ADG,,597000000.0,246,
ERC-2023-COG,2023,,ERC,COG,COG,,595000000.0,300,
ERC-2023-POC,2023,,ERC,POC,POC,,30000000.0,200,
ERC-2023-SJI-1,2023,,ERC,SJI,SJI,,1500000.0,1,
ERC-2023-STG,2023,,ERC,STG,STG,,628000000.0,407,
ERC-2023-SyG,2023,,ERC,SyG,SyG,,300000000.0,,
ERC-2024-ADG,2024,,ERC,ADG,ADG,,703500000.0,285,
ERC-2024-COG,2024,,ERC,COG,COG,,583900000.0,291,
ERC-2024-PERA,2024,,ERC,PERA,PERA,,60000.0,6,
ERC-2024-POC,2024,,ERC,POC,POC,,30000000.0,200,
ERC-2024-STG,2024,,ERC,STG,STG,,601300000.0,387,
ERC-2024-SyG,2024,,ERC,SyG,SyG,,400000000.0,39,
ERC-2025-STG,2025,,ERC,STG,STG,,751100000.0,483,
ERC-2025-SyG,2025,,ERC,SyG,SyG,,500000000.0,48,
HOIRZON-EIC-2024-PRIZE-EIPA-NETZEROPROCUREMET,2024,,HOIRZON-EIC,PRIZE-EIPA-NETZEROPROCUREMET,PRIZE-EIPA-NETZEROPROCUREMET,,150000.0,,
HORIZON-Chips-2024-RIA-CPL-5,2024,Digital,HORIZON-Chips,RIA-CPL,HE & DEP Other,Other actions not subject to calls for proposals & Programme Support Actions,100000000.0,1,Chips
HORIZON-CL2-2021-DEMOCRACY-01-01,2021,,HORIZON-CL2,DEMOCRACY,DEMOCRACY,Innovative research on democracy and governance,9900000.0,,
HORIZON-CL2-2021-DEMOCRACY-01-02,2021,,HORIZON-CL2,DEMOCRACY,DEMOCRACY,Innovative research on democracy and governance,9900000.0,,
HORIZON-CL2-2021-DEMOCRACY-01-03,2021,,HORIZON-CL2,DEMOCRACY,DEMOCRACY,Innovative research on democracy and governance,9900000.0,,
HORIZON-CL2-2021-DEMOCRACY-01-04,2021,,HORIZON-CL2,DEMOCRACY,DEMOCRACY,Innovative research on democracy and governance,9900000.0,,
HORIZON-CL2-2021-DEMOCRACY-01-05,2021,,HORIZON-CL2,DEMOCRACY,DEMOCRACY,Innovative research on democracy and governance,9900000.0,,
HORIZON-CL2-2021-HERITAGE-01-01,2021,,HORIZON-CL2,HERITAGE,HERITAGE,Innovative research on the European cultural heritage and the cultural and creative industries,12000000.0,,
HORIZON-CL2-2021-HERITAGE-01-02,2021,,HORIZON-CL2,HERITAGE,HERITAGE,Innovative research on the European cultural heritage and the cultural and creative industries,9000000.0,,
HORIZON-CL2-2021-HERITAGE-01-03,2021,,HORIZON-CL2,HERITAGE,HERITAGE,Innovative research on the European cultural heritage and the cultural and creative industries,12000000.0,,
HORIZON-CL2-2021-HERITAGE-01-04,2021,,HORIZON-CL2,HERITAGE,HERITAGE,Innovative research on the European cultural heritage and the cultural and creative industries,12000000.0,,
HORIZON-CL2-2021-HERITAGE-02-01,2021,,HORIZON-CL2,HERITAGE,HERITAGE,Innovative research on the European cultural heritage and the cultural and creative industries,3500000.0,,
HORIZON-CL2-2021-HERITAGE-02-02,2021,,HORIZON-CL2,HERITAGE,HERITAGE,Innovative research on the European cultural heritage and the cultural and creative industries,3000000.0,,
HORIZON-CL2-2021-TRANSFORMATIONS-01-01,2021,,HORIZON-CL2,TRANSFORMATIONS,TRANSFORMATIONS,Innovative research on social and economic transformations,3000000.0,,
HORIZON-CL2-2021-TRANSFORMATIONS-01-02,2021,,HORIZON-CL2,TRANSFORMATIONS,TRANSFORMATIONS,Innovative research on social and economic transformations,9000000.0,,
HORIZON-CL2-2021-TRANSFORMATIONS-01-03,2021,,HORIZON-CL2,TRANSFORMATIONS,TRANSFORMATIONS,Innovative research on social and economic transformations,10000000.0,,
HORIZON-CL2-2021-TRANSFORMATIONS-01-04,2021,,HORIZON-CL2,TRANSFORMATIONS,TRANSFORMATIONS,Innovative research on social and economic transformations,9000000.0,,
HORIZON-CL2-2021-TRANSFORMATIONS-01-05,2021,,HORIZON-CL2,TRANSFORMATIONS,TRANSFORMATIONS,Innovative research on social and economic transformations,9000000.0,,
HORIZON-CL2-2021-TRANSFORMATIONS-01-06,2021,,HORIZON-CL2,TRANSFORMATIONS,TRANSFORMATIONS,Innovative research on social and economic transformations,9000000.0,,
HORIZON-CL2-2021-TRANSFORMATIONS-01-07,2021,,HORIZON-CL2,TRANSFORMATIONS,TRANSFORMATIONS,Innovative research on social and economic transformations,8000000.0,,
HORIZON-CL2-2022-DEMOCRACY-01-01,2022,,HORIZON-CL2,DEMOCRACY,DEMOCRACY,Innovative research on democracy and governance,9000000.0,,
HORIZON-CL2-2022-DEMOCRACY-01-02,2022,,HORIZON-CL2,DEMOCRACY,DEMOCRACY,Innovative research on democracy and governance,9000000.0,,
HORIZON-CL2-2022-DEMOCRACY-01-03,2022,,HORIZON-CL2,DEMOCRACY,DEMOCRACY,Innovative research on democracy and governance,9000000.0,,
HORIZON-CL2-2022-DEMOCRACY-01-04,2022,,HORIZON-CL2,DEMOCRACY,DEMOCRACY,Innovative research on democracy and governance,9000000.0,,
HORIZON-CL2-2022-DEMOCRACY-01-05,2022,,HORIZON-CL2,DEMOCRACY,DEMOCRACY,Innovative research on democracy and governance,9000000.0,,
